obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9
8.450284600257873535e-02,2.737741470336914062e-01,-1.951710507273674011e-02,-1.252442877739667892e-02,-5.312948953360319138e-03,2.808794146403670311e-03,2.399188727140426636e-01,-9.707929491996765137e-01,-1.046838983893394470e-02,5.539854057133197784e-03,2.026208676397800446e-02,1.333648711442947388e-01,7.289296388626098633e-01,-2.046838961541652679e-02,-4.460145719349384308e-03,1.745329238474369049e-02,-1.166635155677795410e+00,1.289296299219131470e-01,-2.546839043498039246e-02,-1.960145775228738785e-03,0.000000000000000000e+00,1.233064010739326477e-01,6.450840473175048828e+00,2.158998884260654449e-02,9.859723038971424103e-03,1.908496208488941193e-02,5.860853567719459534e-02,0.000000000000000000e+00,4.099415242671966553e-01,1.557512581348419189e-01,1.512923240661621094e-01,4.444329440593719482e-02,1.085273027420043945e-01,-2.194419801235198975e-01,1.275400370359420776e-01,-1.321305483579635620e-01,-7.734327912330627441e-01,2.180378884077072144e-02
3.068163059651851654e-02,2.421402633190155029e-01,-1.430367119610309601e-02,-9.031230583786964417e-03,-7.066245656460523605e-03,2.491787774488329887e-03,3.285445570945739746e-01,-9.444884657859802246e-01,-7.019289769232273102e-03,3.090950427576899529e-03,1.994507946074008942e-02,3.968831151723861694e-02,6.998223066329956055e-01,-1.701929047703742981e-02,-6.909049581736326218e-03,1.745329238474369049e-02,-1.285311698913574219e+00,1.123223304748535156e-01,-2.201928943395614624e-02,-4.409049637615680695e-03,0.000000000000000000e+00,1.354068368673324585e-01,8.002933502197265625e+00,2.224186994135379791e-02,9.941175580024719238e-03,1.909770816564559937e-02,4.045011848211288452e-02,0.000000000000000000e+00,3.487211763858795166e-01,1.709746569395065308e-01,1.215613707900047302e-01,9.248296171426773071e-02,2.342971414327621460e-01,-2.128047198057174683e-01,1.346078366041183472e-01,-1.694908589124679565e-01,-7.822332978248596191e-01,4.814151301980018616e-02
-6.524465512484312057e-03,2.047528922557830811e-01,-1.150935795158147812e-02,-5.974803119897842407e-03,-7.659371942281723022e-03,-1.729360199533402920e-03,4.121594727039337158e-01,-9.111117124557495117e-01,-3.946166019886732101e-03,1.801020815037190914e-03,1.572393253445625305e-02,-3.744167834520339966e-02,6.614783406257629395e-01,-1.394616626203060150e-02,-8.198979310691356659e-03,1.745329238474369049e-02,-1.387441635131835938e+00,8.647832274436950684e-02,-1.894616521894931793e-02,-5.698978900909423828e-03,0.000000000000000000e+00,1.483817547559738159e-01,9.451449394226074219e+00,2.011862397193908691e-02,9.981184266507625580e-03,1.924827322363853455e-02,2.749084867537021637e-02,0.000000000000000000e+00,2.698321044445037842e-01,1.974424123764038086e-01,8.350432664155960083e-02,1.114810928702354431e-01,2.995684444904327393e-01,-2.406068891286849976e-01,1.582364886999130249e-01,-2.024048715829849243e-01,-7.592633962631225586e-01,4.690453037619590759e-02
-3.034077771008014679e-02,1.672946214675903320e-01,-1.120393164455890656e-02,-3.688271623104810715e-03,-7.197779603302478790e-03,9.986071381717920303e-04,4.902659356594085693e-01,-8.715729117393493652e-01,-1.582270953804254532e-03,1.569916610606014729e-03,1.845189929008483887e-02,-1.009465828537940979e-01,6.195874810218811035e-01,-1.158227119594812393e-02,-8.430083282291889191e-03,1.745329238474369049e-02,-1.475946545600891113e+00,5.708746612071990967e-02,-1.658227108418941498e-02,-5.930083338171243668e-03,0.000000000000000000e+00,1.680056154727935791e-01,1.079922866821289062e+01,1.714695803821086884e-02,9.995032101869583130e-03,1.915504224598407745e-02,1.818309165537357330e-02,0.000000000000000000e+00,1.348465085029602051e-01,1.366202980279922485e-01,7.395185530185699463e-03,2.325249910354614258e-01,3.552801609039306641e-01,-2.132362276315689087e-01,2.590730786323547363e-01,-1.923190504312515259e-01,-6.282276511192321777e-01,-1.251215338706970215e-01
-4.422776773571968079e-02,1.326555907726287842e-01,-9.862703271210193634e-03,-1.922511961311101913e-03,-6.712437141686677933e-03,1.063712290488183498e-03,5.654696226119995117e-01,-8.247691392898559570e-01,3.209301212336868048e-04,1.371940830722451210e-03,1.851700432598590851e-02,-1.539848148822784424e-01,5.770736336708068848e-01,-9.679069742560386658e-03,-8.628059178590774536e-03,1.745329238474369049e-02,-1.553984761238098145e+00,2.707363292574882507e-02,-1.467906963080167770e-02,-6.128059234470129013e-03,0.000000000000000000e+00,1.980704814195632935e-01,1.206436920166015625e+01,1.407419238239526749e-02,9.998015128076076508e-03,1.915263570845127106e-02,1.165585219860076904e-02,0.000000000000000000e+00,5.093029141426086426e-02,1.096581444144248962e-01,-3.038415312767028809e-02,3.036478757858276367e-01,3.927944302558898926e-01,-2.227596491575241089e-01,3.148066401481628418e-01,-1.626756340265274048e-01,-5.512481927871704102e-01,-2.211426943540573120e-01
-4.995873942971229553e-02,9.961776435375213623e-02,-5.193077493458986282e-03,-4.013036959804594517e-04,-6.549636367708444595e-03,8.631058735772967339e-04,6.388008594512939453e-01,-7.693721652030944824e-01,2.038611797615885735e-03,8.660027524456381798e-04,1.831639930605888367e-02,-1.980317085981369019e-01,5.327786803245544434e-01,-7.961387746036052704e-03,-9.133997373282909393e-03,1.745329238474369049e-02,-1.623031735420227051e+00,-4.721304867416620255e-03,-1.296138856559991837e-02,-6.633997429162263870e-03,0.000000000000000000e+00,2.294532805681228638e-01,1.324691295623779297e+01,1.093650795519351959e-02,9.995094500482082367e-03,1.916002482175827026e-02,6.380752660334110260e-03,0.000000000000000000e+00,9.650379419326782227e-03,1.031132936477661133e-01,-3.812356665730476379e-02,3.559538722038269043e-01,4.401572942733764648e-01,-2.500554621219635010e-01,3.346682488918304443e-01,-1.193247437477111816e-01,-5.130857825279235840e-01,-2.585200965404510498e-01
-4.868759587407112122e-02,6.696639209985733032e-02,-4.860513377934694290e-03,8.682420011609792709e-04,-6.526112090796232224e-03,-1.165108755230903625e-03,7.036615610122680664e-01,-7.105352878570556641e-01,3.562167752534151077e-03,2.404564147582277656e-04,1.628818362951278687e-02,-2.339495718479156494e-01,4.855736196041107178e-01,-6.437832023948431015e-03,-9.759543463587760925e-03,1.745329238474369049e-02,-1.683949589729309082e+00,-3.942639008164405823e-02,-1.143783237785100937e-02,-7.259543519467115402e-03,0.000000000000000000e+00,2.531182765960693359e-01,1.434473037719726562e+01,8.126401342451572418e-03,9.987252764403820038e-03,1.923020929098129272e-02,2.804179675877094269e-03,0.000000000000000000e+00,-1.200875639915466309e-02,1.145156621932983398e-01,-2.912267297506332397e-02,3.626731336116790771e-01,4.742287397384643555e-01,-2.920193672180175781e-01,3.292878568172454834e-01,-7.887482643127441406e-02,-4.903456866741180420e-01,-2.386876195669174194e-01
7.730000019073486328e-01,-2.349999994039535522e-01,-3.253149986267089844e-01,1.219948288053274155e-02,2.363139018416404724e-02,4.363323003053665161e-02,-9.475501179695129395e-01,3.196072578430175781e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.200000047683715820e+00,-4.000000059604644775e-01,4.999999888241291046e-03,4.999999888241291046e-03,-4.363323003053665161e-02,6.999999880790710449e-01,5.500000119209289551e-01,9.999999776482582092e-03,9.999999776482582092e-03,0.000000000000000000e+00,1.214532852172851562e+00,3.286100625991821289e+00,3.315190076828002930e-01,9.999999776482582092e-03,1.949551515281200409e-02,7.287718653678894043e-01,5.000000074505805969e-02,2.927680313587188721e-01,-3.567467033863067627e-01,-1.631921231746673584e-01,4.942142367362976074e-01,3.870756030082702637e-01,-4.253886342048645020e-01,6.975068449974060059e-01,4.289927482604980469e-01,2.067312300205230713e-01,1.871060281991958618e-01
7.773652076721191406e-01,-1.538128852844238281e-01,-1.406444907188415527e-01,-1.660131104290485382e-02,2.437417767941951752e-02,2.092430926859378815e-02,-9.363151192665100098e-01,3.511608839035034180e-01,-3.266270831227302551e-02,2.742679324001073837e-03,-2.270892262458801270e-02,1.158531069755554199e+00,-4.073214530944824219e-01,-2.766270749270915985e-02,7.742679212242364883e-03,-4.363323003053665161e-02,6.835311055183410645e-01,5.676785707473754883e-01,-2.266270853579044342e-02,1.274267956614494324e-02,0.000000000000000000e+00,1.158109068870544434e+00,3.269733190536499023e+00,3.012311458587646484e-01,8.925625123083591461e-03,1.897981949150562286e-02,4.596402943134307861e-01,3.594768047332763672e-02,5.047168731689453125e-01,-8.971639722585678101e-02,1.016402915120124817e-01,3.260454535484313965e-01,2.902576923370361328e-01,-2.265173494815826416e-01,4.713382124900817871e-01,4.923561215400695801e-01,8.718869835138320923e-02,2.045741081237792969e-01
6.260234713554382324e-01,-1.053740978240966797e-01,-5.938305705785751343e-02,-3.317005932331085205e-02,-3.174612764269113541e-03,9.748289361596107483e-03,-8.796286582946777344e-01,4.756610393524169922e-01,-5.256897211074829102e-02,-2.201775275170803070e-02,-3.388494253158569336e-02,9.432848691940307617e-01,-4.353728890419006348e-01,-4.756897315382957458e-02,-1.701775379478931427e-02,-4.363323003053665161e-02,4.932848811149597168e-01,5.646271109580993652e-01,-4.256897047162055969e-02,-1.201775297522544861e-02,0.000000000000000000e+00,7.558570504188537598e-01,2.040204286575317383e+00,1.723157316446304321e-01,6.751721724867820740e-03,1.834732480347156525e-02,1.978132426738739014e-01,0.000000000000000000e+00,1.612758189439773560e-01,3.131980001926422119e-01,-1.143119335174560547e-01,-1.989057660102844238e-02,5.317953601479530334e-02,-1.062590181827545166e-01,3.837386965751647949e-01,6.411627531051635742e-01,-1.940406858921051025e-01,4.856868386268615723e-01
4.780335426330566406e-01,-1.178919821977615356e-01,-2.052408829331398010e-02,-2.602035738527774811e-02,-1.932459999807178974e-03,6.026712711900472641e-03,-7.806928753852844238e-01,6.249149441719055176e-01,-4.807416349649429321e-02,-1.733096688985824585e-02,-3.760651871562004089e-02,7.163497805595397949e-01,-5.087364315986633301e-01,-4.307416453957557678e-02,-1.233096793293952942e-02,-4.363323003053665161e-02,2.913497686386108398e-01,5.162636041641235352e-01,-3.807416185736656189e-02,-7.330967579036951065e-03,0.000000000000000000e+00,4.273549616336822510e-01,9.005558490753173828e-01,9.569428861141204834e-02,7.388512603938579559e-03,1.808126457035541534e-02,1.206382438540458679e-01,0.000000000000000000e+00,2.339085340499877930e-01,3.319241106510162354e-01,6.659062951803207397e-02,2.314078807830810547e-02,1.499439030885696411e-01,-5.502665415406227112e-02,3.415120840072631836e-01,5.913417935371398926e-01,-2.550691366195678711e-01,3.708600699901580811e-01
3.651593625545501709e-01,-1.334308087825775146e-01,-2.042953623458743095e-03,-1.998338475823402405e-02,-4.801398608833551407e-03,1.159587991423904896e-03,-6.412212848663330078e-01,7.673560380935668945e-01,-4.388359561562538147e-02,-1.626230031251907349e-02,-4.247364401817321777e-02,5.132323503494262695e-01,-5.665917396545410156e-01,-3.888359665870666504e-02,-1.126230042427778244e-02,-4.363323003053665161e-02,1.132323518395423889e-01,4.834082424640655518e-01,-3.388359770178794861e-02,-6.262301001697778702e-03,0.000000000000000000e+00,2.282588481903076172e-01,3.331806659698486328e-01,5.559275299310684204e-02,7.809767499566078186e-03,1.769150421023368835e-02,8.649772405624389648e-02,0.000000000000000000e+00,2.907271981239318848e-01,3.682735562324523926e-01,2.049503624439239502e-01,8.773396909236907959e-02,1.874591112136840820e-01,1.052122414112091064e-01,2.682734131813049316e-01,4.501838684082031250e-01,-3.303695619106292725e-01,3.794382810592651367e-01
2.524588704109191895e-01,-1.703357398509979248e-01,5.630225408822298050e-03,-2.686217427253723145e-02,-8.462968282401561737e-03,4.414122377056628466e-04,-4.667353332042694092e-01,8.843970298767089844e-01,-5.171277001500129700e-02,-1.567996665835380554e-02,-4.319182038307189941e-02,3.032687306404113770e-01,-6.252778768539428711e-01,-4.671277105808258057e-02,-1.067996677011251450e-02,-4.363323003053665161e-02,-7.173125445842742920e-02,4.497221112251281738e-01,-4.171277210116386414e-02,-5.679966881871223450e-03,0.000000000000000000e+00,1.539361476898193359e-01,1.216622367501258850e-01,4.203486815094947815e-02,7.079927716404199600e-03,1.762998104095458984e-02,5.729284137487411499e-02,0.000000000000000000e+00,2.933675348758697510e-01,4.073558449745178223e-01,2.068774104118347168e-01,5.199121683835983276e-02,-1.455153971910476685e-01,1.033689975738525391e-01,2.530888020992279053e-01,3.712939023971557617e-01,-6.255933046340942383e-01,3.383861780166625977e-01
1.351475715637207031e-01,-1.872109472751617432e-01,1.990488544106483459e-02,-1.979243382811546326e-02,8.954427321441471577e-04,9.422829025425016880e-04,-2.779931426048278809e-01,9.605830311775207520e-01,-4.465233907103538513e-02,-1.972549129277467728e-03,-4.269094765186309814e-02,8.628553897142410278e-02,-6.423664093017578125e-01,-3.965234011411666870e-02,3.027450991794466972e-03,-4.363323003053665161e-02,-2.637144625186920166e-01,4.576335847377777100e-01,-3.465233743190765381e-02,8.027451112866401672e-03,0.000000000000000000e+00,1.334388703107833862e-01,5.087820887565612793e-01,3.372522071003913879e-02,8.002277463674545288e-03,1.767299696803092957e-02,3.398713842034339905e-02,0.000000000000000000e+00,2.891754508018493652e-01,3.888399004936218262e-01,2.486031353473663330e-01,9.250011295080184937e-02,7.798156142234802246e-02,3.453132808208465576e-01,1.879559159278869629e-01,3.407953679561614990e-01,-4.246332943439483643e-01,3.152185976505279541e-01
5.301293730735778809e-02,-1.673384457826614380e-01,1.313502434641122818e-02,-1.321614813059568405e-02,6.192836444824934006e-03,4.691177455242723227e-04,-5.673776939511299133e-02,9.983891248703002930e-01,-3.714384138584136963e-02,7.572777569293975830e-03,-4.316411539912223816e-02,-9.320454299449920654e-02,-6.011292338371276855e-01,-3.214384242892265320e-02,1.257277745753526688e-02,-4.363323003053665161e-02,-4.182045459747314453e-01,5.238707661628723145e-01,-2.714384160935878754e-02,1.757277734577655792e-02,0.000000000000000000e+00,1.212485507130622864e-01,1.430154800415039062e+00,2.407096698880195618e-02,8.562987670302391052e-03,1.763237453997135162e-02,1.789244450628757477e-02,0.000000000000000000e+00,4.158409237861633301e-01,4.963362514972686768e-01,2.501182556152343750e-01,5.131079554557800293e-01,4.745621085166931152e-01,5.595510005950927734e-01,2.340484261512756348e-01,1.956383585929870605e-01,-3.628259152173995972e-02,4.954263269901275635e-01
5.078438553027808666e-04,-1.298922151327133179e-01,4.134754184633493423e-03,-7.974869571626186371e-03,8.865678682923316956e-03,-1.201272010803222656e-03,1.695747673511505127e-01,9.855173230171203613e-01,-3.007302992045879364e-02,1.419109199196100235e-02,-4.483450204133987427e-02,-2.361332029104232788e-01,-5.217531919479370117e-01,-2.507302910089492798e-02,1.919109188020229340e-02,-4.363323003053665161e-02,-5.361332297325134277e-01,6.282468438148498535e-01,-2.007302828133106232e-02,2.419109269976615906e-02,0.000000000000000000e+00,1.124166771769523621e-01,2.689198970794677734e+00,1.626042649149894714e-02,8.894225582480430603e-03,1.748538203537464142e-02,8.133252151310443878e-03,0.000000000000000000e+00,4.223952293395996094e-01,5.315682888031005859e-01,4.408853948116302490e-01,6.036125421524047852e-01,3.262724876403808594e-01,4.048174917697906494e-01,1.843425333499908447e-01,-3.190894424915313721e-02,-1.667616069316864014e-01,4.961871504783630371e-01
-2.874200977385044098e-02,-8.399567008018493652e-02,-2.054431289434432983e-02,-3.324422053992748260e-03,8.892884477972984314e-03,-1.020916830748319626e-02,4.015818238258361816e-01,9.158231616020202637e-01,-2.278245799243450165e-02,1.767426356673240662e-02,-5.384239926934242249e-02,-3.445879518985748291e-01,-4.153494536876678467e-01,-1.778245903551578522e-02,2.267426438629627228e-02,-4.363323003053665161e-02,-6.195879578590393066e-01,7.596505284309387207e-01,-1.278245914727449417e-02,2.767426334321498871e-02,0.000000000000000000e+00,1.009055227041244507e-01,4.197177886962890625e+00,1.031399983912706375e-02,9.168580174446105957e-03,1.659651100635528564e-02,1.000041235238313675e-02,0.000000000000000000e+00,5.677445530891418457e-01,5.362044572830200195e-01,4.302198588848114014e-01,5.700255036354064941e-01,1.516076922416687012e-01,2.219785898923873901e-01,2.383346855640411377e-02,-1.143341362476348877e-01,-3.748087286949157715e-01,5.368336439132690430e-01
-1.126999974250793457e+00,1.965000033378601074e+00,1.982393741607666016e+00,6.803101277910172939e-04,-1.617883332073688507e-02,-2.617993950843811035e-02,4.000738263130187988e-01,-9.164829254150390625e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.999999880790710449e-01,1.799999952316284180e+00,4.999999888241291046e-03,-4.999999888241291046e-03,2.617993950843811035e-02,-5.000000000000000000e-01,8.000000119209289551e-01,1.499999966472387314e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.162629604339599609e+00,3.813412666320800781e+00,1.642908096313476562e+00,9.999999776482582092e-03,1.949551515281200409e-02,8.081868171691894531e+00,5.000000074505805969e-02,-3.953234851360321045e-01,-1.796722710132598877e-01,-4.105861783027648926e-01,3.113281726837158203e-02,-2.600940465927124023e-01,3.535587191581726074e-01,2.952360510826110840e-01,1.769860982894897461e-01,-4.898681640625000000e-01,-1.396829187870025635e-01
