# t,xt0,xt1,xt2,xt3,xt4,xt5,xc0,xc1,xc2,xc3,xc4,xc5,dist,b_obs
1.377000000000000171e+02,2.904836020708020161e+00,1.852628496991137741e+00,1.803600069298522146e-05,-1.026268397705147346e-03,-5.578384588651175147e-04,-1.283644151825392066e-05,3.059725900293516876e+00,2.234611429864261201e+00,-1.969460955633361099e+00,-2.512875146834731791e-03,-4.275187219603311943e-04,3.739436857217090342e-03,4.121915037993418296e-01,1.495848370150777143e-03
1.377500000000000000e+02,2.904784863119193261e+00,1.852600689764423159e+00,1.739766596847081278e-05,-1.020035155364623809e-03,-5.544506097181950465e-04,-1.269694746232247724e-05,3.059600545060244148e+00,2.234590120503171740e+00,-1.969274073926095658e+00,-2.501334184078442182e-03,-4.248557216126152268e-04,3.735831433402495971e-03,4.121696502303218157e-01,1.493270699435440873e-03
1.378000000000000114e+02,2.904734017140942814e+00,1.852573051902251633e+00,1.676628880099962331e-05,-1.013803974645018525e-03,-5.510638771405328065e-04,-1.255813923652508813e-05,3.059475767781491218e+00,2.234568944236180688e+00,-1.969087375498444148e+00,-2.489756966037961951e-03,-4.221949580216016957e-04,3.732105672654876562e-03,4.121478753448771237e-01,1.490678397178183193e-03
1.378499999999999943e+02,2.904683482658097837e+00,1.852545583342222191e+00,1.614183479602968659e-05,-1.007575339146679844e-03,-5.476785240399836179e-04,-1.242002096227240930e-05,3.059351570243909801e+00,2.234547900946435295e+00,-1.968900866357857105e+00,-2.478144537227530090e-03,-4.195366317919794943e-04,3.728259950824703520e-03,4.121261796737044070e-01,1.488071492040415455e-03
1.379000000000000057e+02,2.904633259531478995e+00,1.852518284008881411e+00,1.552426935618070344e-05,-1.001349725598309204e-03,-5.442948095888609740e-04,-1.228259663168690825e-05,3.059227954182093256e+00,2.234526990507130328e+00,-1.968714552492663916e+00,-2.466497935438153374e-03,-4.168809404116375120e-04,3.724294656902357118e-03,4.121045637390854943e-01,1.485450013118270497e-03
1.379500000000000171e+02,2.904583347598241438e+00,1.852491153813910385e+00,1.491355768766709791e-05,-9.951276039124750967e-04,-5.409129892541166126e-04,-1.214587010885734179e-05,3.059104921278914979e+00,2.234506212781663059e+00,-1.968528439871420233e+00,-2.454818191698173498e-03,-4.142280782876464314e-04,3.720210192843370883e-03,4.120830280548901103e-01,1.482813989936607440e-03
1.380000000000000000e+02,2.904533746672212757e+00,1.852464192656308350e+00,1.430966480666784736e-05,-9.889094372409214760e-04,-5.375333148274069606e-04,-1.200984513111270208e-05,3.058982473165865912e+00,2.234485567623786473e+00,-1.968342534442264258e+00,-2.443106330261934130e-03,-4.115782367673555134e-04,3.716006973398770005e-03,4.120615731265823700e-01,1.480163452427867357e-03
1.380500000000000114e+02,2.904484456544230930e+00,1.852437400422576319e+00,1.371255554563216335e-05,-9.826956820296677778e-04,-5.341560344550463869e-04,-1.187452531031462795e-05,3.058860611423395159e+00,2.234465054877762924e+00,-1.968156842132280815e+00,-2.431363368573478782e-03,-4.089316041719536421e-04,3.711685425939970952e-03,4.120401994512272736e-01,1.477498430927979113e-03
1.380999999999999943e+02,2.904435476982478281e+00,1.852410776986898266e+00,1.312219455952014236e-05,-9.764867880739015347e-04,-5.307813926678475909e-04,-1.173991413416621482e-05,3.058739337581249718e+00,2.234444674378512907e+00,-1.967971368846875180e+00,-2.419590317246890759e-03,-4.062883658237861234e-04,3.707245990286855194e-03,4.120189075174970905e-01,1.474818956163798881e-03
1.381500000000000057e+02,2.904386807732812326e+00,1.852384322211321210e+00,1.253854633197758691e-05,-9.702831985726609798e-04,-5.274096304108469562e-04,-1.160601496753599833e-05,3.058618653118817310e+00,2.234424425951765603e+00,-1.967786120469154687e+00,-2.407788180044741384e-03,-4.036487040735630099e-04,3.702689118535479069e-03,4.119976978056820172e-01,1.472125059239042617e-03
1.382000000000000171e+02,2.904338448519093507e+00,1.852358035945934178e+00,1.196157518144430397e-05,-9.640853501833052553e-04,-5.240409850729147627e-04,-1.147283105379535162e-05,3.058498559465469668e+00,2.234404309414205425e+00,-1.967601102859319218e+00,-2.395957953856710405e-03,-4.010127983273204444e-04,3.698015274885057668e-03,4.119765707876991701e-01,1.469416771623597131e-03
